ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,YEARS_BIRTH,YEARS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5018501,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.92,2.75,1,1,1,0,Cooking staff,2.0
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,6.77,1,0,0,0,Sales staff,1.0
5038807,M,Y,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,34.68,14.72,1,0,0,1,Laborers,2.0
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.14,5.89,1,1,0,0,Managers,2.0
5065316,F,N,Y,1,157500.0,State servant,Higher education,Married,House / apartment,42.86,11.73,1,0,0,0,Core staff,3.0
5078802,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,51.85,8.16,1,0,0,0,High skill tech staff,2.0
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.13,3.47,1,0,0,0,Managers,2.0
5090737,F,N,N,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,51.98,10.18,1,0,0,0,Laborers,1.0
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,35.68,10.77,1,1,1,0,Laborers,3.0
5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.04,4.95,1,1,1,0,,3.0
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39.79,2.36,1,1,0,0,Managers,1.0
5126463,F,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,48.33,28.64,1,1,1,0,Medicine staff,1.0
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,1.52,1,0,0,0,Security staff,2.0
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,1.52,1,0,0,0,Security staff,2.0
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.08,1.52,1,0,0,0,Security staff,2.0
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.39,2.53,1,1,1,0,Drivers,3.0
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.39,2.53,1,1,1,0,Drivers,3.0
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,1.61,1,1,1,0,,2.0
5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.4,2.5,1,0,0,1,,3.0
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.53,3.52,1,0,1,0,Laborers,2.0
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.37,6.22,1,0,1,0,Low-skill Laborers,3.0
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.73,11.27,1,0,0,0,Accountants,3.0
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,31.81,0.45,1,1,1,0,High skill tech staff,1.0
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.28,2.37,1,0,0,0,Laborers,3.0
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.66,13.66,1,0,0,0,High skill tech staff,4.0
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37.59,3.82,1,0,0,0,Laborers,2.0
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,37.59,3.82,1,0,0,0,Laborers,2.0
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34.95,5.77,1,0,0,0,,3.0
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.45,1.47,1,0,0,0,Laborers,4.0
5093286,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,48.15,3.33,1,0,0,0,Laborers,2.0
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,54.83,1.6,1,0,0,0,Core staff,1.0
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,51.98,22.36,1,0,0,0,Managers,2.0
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,44.68,1.68,1,0,0,0,Laborers,1.0
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.17,0.95,1,0,0,0,Security staff,1.0
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44.97,1.7,1,0,1,0,High skill tech staff,2.0
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.58,2.47,1,0,0,0,Managers,2.0
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.58,2.47,1,0,0,0,Managers,2.0
