ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,YEARS_BIRTH,YEARS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,58.83,3.11,1,0,0,0,Security staff,2.0
5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.36,8.36,1,0,1,1,Sales staff,1.0
5008813,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61.55,-1000.67,1,0,0,0,,1.0
5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.22,2.11,1,1,1,1,Accountants,2.0
5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,46.22,2.11,1,1,1,1,Accountants,2.0
5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.71,3.27,1,0,0,0,Laborers,2.0
5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.71,3.27,1,0,0,0,Laborers,2.0
5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.23,3.02,1,0,0,0,Accountants,2.0
5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.48,4.02,1,0,1,0,Laborers,2.0
5008839,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.44,5.52,1,0,0,0,Managers,3.0
5008841,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.44,5.52,1,0,0,0,Managers,3.0
5008842,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.44,5.52,1,0,0,0,Managers,3.0
5008846,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.17,12.19,1,0,1,0,Drivers,2.0
5008850,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.17,12.19,1,0,1,0,Drivers,2.0
5008851,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.17,12.19,1,0,1,0,Drivers,2.0
5008852,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.17,12.19,1,0,1,0,Drivers,2.0
5008856,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008857,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008858,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008859,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008860,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008861,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008862,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008864,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.42,19.45,1,0,0,0,Core staff,3.0
5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.67,14.7,1,0,1,0,Security staff,2.0
5008877,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008880,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
