ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,YEARS_BIRTH,YEARS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,32.89,12.44,1,1,0,0,,2.0
5008805,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,32.89,12.44,1,1,0,0,,2.0
5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.36,8.36,1,0,1,1,Sales staff,1.0
5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.36,8.36,1,0,1,1,Sales staff,1.0
5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,29.23,3.02,1,0,0,0,Accountants,2.0
5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.48,4.02,1,0,1,0,Laborers,2.0
5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.48,4.02,1,0,1,0,Laborers,2.0
5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.05,4.44,1,0,0,0,,2.0
5008837,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,34.76,3.19,1,0,0,0,Laborers,5.0
5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.44,5.52,1,0,0,0,Managers,3.0
5008843,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,32.44,5.52,1,0,0,0,Managers,3.0
5008855,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.18,8.69,1,0,0,0,Laborers,4.0
5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008874,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008875,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008876,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008879,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008881,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.86,1,0,0,1,Managers,4.0
5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3,-1000.67,1,0,0,0,,1.0
5008893,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008894,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008895,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008906,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008913,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008915,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008917,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008919,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008921,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008923,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008924,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008925,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42.52,8.86,1,0,0,0,Laborers,1.0
5008951,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28.28,7.69,1,0,0,0,,3.0
5008956,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.73,4.69,1,0,0,0,Laborers,2.0
5008960,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.73,4.69,1,0,0,0,Laborers,2.0
5008962,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.73,4.69,1,0,0,0,Laborers,2.0
5008963,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.73,4.69,1,0,0,0,Laborers,2.0
5008979,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.15,-1000.67,1,0,0,0,,2.0
5009000,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.2,2.27,1,0,0,0,Drivers,2.0
5009016,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.31,8.53,1,0,0,1,,4.0
5009022,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.31,8.53,1,0,0,1,,4.0
5009023,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.31,8.53,1,0,0,1,,4.0
5009025,F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.31,8.53,1,0,0,1,,4.0
5009029,F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39.59,7.61,1,0,0,0,Laborers,2.0
5009052,F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30.13,6.27,1,0,0,1,Core staff,4.0
5009069,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63,5.69,1,0,0,0,Sales staff,2.0
5009070,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28.63,5.69,1,0,0,0,Sales staff,2.0
5009078,M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,38.69,3.52,1,0,0,0,Drivers,3.0
5009079,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,27.57,8.69,1,0,0,1,Laborers,2.0
5009083,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,56.25,15.7,1,0,0,0,Drivers,2.0
5009096,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.48,12.03,1,0,0,1,Accountants,3.0
5009098,F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.48,12.03,1,0,0,1,Accountants,3.0
5009103,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35.23,11.11,1,0,1,0,Drivers,4.0
5112876,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35.23,11.11,1,0,1,0,Drivers,4.0
5009117,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.12,1.18,1,0,0,0,,1.0
5009123,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.12,1.18,1,0,0,0,,1.0
5009125,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.12,1.18,1,0,0,0,,1.0
5009127,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,43.12,1.18,1,0,0,0,,1.0
